2000-12-12/00:00:00,9.07,9.07,9.07,9.07,110649
2001-01-07/00:00:00,8.45,8.45,8.45,8.45,70262
2001-01-21/00:00:00,9.07,9.25,9.07,9.16,126747
2001-01-23/00:00:00,9.21,9.21,9.21,9.21,27663
2001-01-28/00:00:00,9.16,9.16,9.16,9.16,70647
2001-01-29/00:00:00,9.21,9.21,9.21,9.21,46802
2001-01-31/00:00:00,9.07,9.07,9.07,9.07,5200
2001-02-06/00:00:00,9.21,9.21,9.21,9.21,19697
2001-02-08/00:00:00,9.39,9.39,9.39,9.39,32699
2001-02-20/00:00:00,9.07,9.07,9.07,9.07,9183
2001-02-22/00:00:00,9.39,9.39,9.39,9.39,16600
2001-04-15/00:00:00,9.07,9.07,9.07,9.07,27663
2001-04-17/00:00:00,9.07,9.07,9.07,9.07,13445
2001-04-18/00:00:00,9.07,9.07,9.07,9.07,27663
2001-04-23/00:00:00,9.07,9.07,9.07,9.07,32145
2001-04-28/00:00:00,9.16,9.16,9.16,9.16,32145
2001-04-29/00:00:00,9.16,9.16,9.16,9.16,82986
2001-04-30/00:00:00,9.21,9.21,9.21,9.21,55326
2001-05-02/00:00:00,9.21,9.21,9.21,9.21,55326
2001-05-13/00:00:00,9.21,9.21,9.21,9.21,121712
2001-05-23/00:00:00,9.25,9.25,9.25,9.25,117619
2001-05-27/00:00:00,9.25,9.25,9.25,9.25,72305
2001-05-28/00:00:00,9.25,9.25,9.25,9.25,45918
2001-05-29/00:00:00,9.62,9.62,9.62,9.62,148324
2001-05-30/00:00:00,9.53,9.53,9.53,9.53,27552
2001-06-03/00:00:00,9.39,9.39,9.39,9.39,27552
2001-06-12/00:00:00,9.25,9.25,9.25,9.25,1881
2001-06-20/00:00:00,9.34,9.34,9.34,9.34,8130
2001-06-23/00:00:00,9.39,9.39,9.39,9.39,110649
2001-07-03/00:00:00,9.53,9.53,9.53,9.53,11118
2001-07-21/00:00:00,9.53,9.53,9.53,9.53,32866
2001-07-23/00:00:00,9.66,9.66,9.66,9.66,81270
2001-08-01/00:00:00,9.84,9.84,9.84,9.84,30649
2001-08-08/00:00:00,9.98,9.98,9.98,9.98,2934
2001-08-19/00:00:00,9.84,9.84,9.84,9.84,1330
